Country/Region,Province/State,time,temperatureMin,temperatureMax
Andorra,,2020-01-17,28.95,48.31
Andorra,,2020-01-18,26.58,39.21
Andorra,,2020-01-19,24.44,44.7
Andorra,,2020-01-20,32.6,50.03
Andorra,,2020-01-21,36.77,45.35
Andorra,,2020-01-22,33.74,47.71
Andorra,,2020-01-23,29.39,49.57
Andorra,,2020-01-24,30.66,47.15
Andorra,,2020-01-25,33.82,48.21
Andorra,,2020-01-26,29.29,50.18
Andorra,,2020-01-27,31.21,52.92
Andorra,,2020-01-28,30.05,55.57
Andorra,,2020-01-29,34.21,56.97
Andorra,,2020-01-30,39.86,58.22
Andorra,,2020-01-31,36.98,59.57
Andorra,,2020-02-01,39.0,65.0
Andorra,,2020-02-02,43.16,64.57
Andorra,,2020-02-03,34.79,52.24
Andorra,,2020-02-04,30.17,54.27
Andorra,,2020-02-05,31.98,54.96
Andorra,,2020-02-06,33.82,56.26
Andorra,,2020-02-07,35.4,55.69
Andorra,,2020-02-08,31.31,55.2
Andorra,,2020-02-09,39.38,66.17
Andorra,,2020-02-10,40.62,60.39
Andorra,,2020-02-11,35.97,55.18
Andorra,,2020-02-12,38.56,58.56
Andorra,,2020-02-13,36.51,62.89
Andorra,,2020-02-14,38.36,64.03
Andorra,,2020-02-15,39.45,64.44
Andorra,,2020-02-16,40.71,60.5
Andorra,,2020-02-17,32.5,56.45
Andorra,,2020-02-18,31.44,59.69
Andorra,,2020-02-19,35.6,63.44
Andorra,,2020-02-20,35.05,64.29
Andorra,,2020-02-21,41.08,67.64
Andorra,,2020-02-22,43.64,71.3
Andorra,,2020-02-23,41.53,70.6
Andorra,,2020-02-24,39.9,59.24
Andorra,,2020-02-25,33.75,48.39
Andorra,,2020-02-26,29.05,55.68
Andorra,,2020-02-27,40.52,61.7
Andorra,,2020-02-28,38.28,58.67
Andorra,,2020-02-29,37.99,53.22
Andorra,,2020-03-01,30.87,43.98
Andorra,,2020-03-02,29.36,44.82
Andorra,,2020-03-03,36.06,56.23
Andorra,,2020-03-04,34.84,52.67
Andorra,,2020-03-05,26.57,41.1
Andorra,,2020-03-06,29.68,46.4
Andorra,,2020-03-07,32.07,59.92
Andorra,,2020-03-08,34.54,48.27
Andorra,,2020-03-09,36.92,64.91
Andorra,,2020-03-10,43.66,72.6
Andorra,,2020-03-11,49.51,68.1
Andorra,,2020-03-12,45.21,62.05
Andorra,,2020-03-13,40.28,63.04
Andorra,,2020-03-14,41.62,62.08
Andorra,,2020-03-15,41.11,46.03
Andorra,,2020-03-16,38.56,58.43
Andorra,,2020-03-17,40.47,61.76
Andorra,,2020-03-18,37.73,62.4
Andorra,,2020-03-19,34.75,60.61
Andorra,,2020-03-20,34.3,60.05
Andorra,,2020-03-21,35.77,54.43
Andorra,,2020-03-22,34.23,53.77
Andorra,,2020-03-23,35.35,58.09
Andorra,,2020-03-24,32.26,46.34
Andorra,,2020-03-25,27.49,44.57
Andorra,,2020-03-26,26.91,51.78
Andorra,,2020-03-27,33.25,53.52
Andorra,,2020-03-28,34.23,56.3
Andorra,,2020-03-29,33.0,43.28
Andorra,,2020-03-30,33.21,50.46
Andorra,,2020-03-31,37.2,52.13
Andorra,,2020-04-01,37.76,50.87
Andorra,,2020-04-02,33.03,58.32
Andorra,,2020-04-03,31.83,63.51
Andorra,,2020-04-04,33.55,61.39
Andorra,,2020-04-05,37.73,60.59
Andorra,,2020-04-06,41.92,54.49
Andorra,,2020-04-07,41.41,59.1
Andorra,,2020-04-08,41.82,60.33
Andorra,,2020-04-09,40.91,62.77
Andorra,,2020-04-10,41.87,62.48
Andorra,,2020-04-11,41.98,58.99
Andorra,,2020-04-12,39.36,52.36
Andorra,,2020-04-13,41.18,63.54
Andorra,,2020-04-14,40.15,61.78
Andorra,,2020-04-15,43.28,66.24
Andorra,,2020-04-16,46.51,66.9
Andorra,,2020-04-17,47.52,68.31
Andorra,,2020-04-18,47.85,63.19
Andorra,,2020-04-19,46.58,57.02
Andorra,,2020-04-20,44.97,53.91
Antigua and Barbuda,,2019-12-31,75.92,83.07
Antigua and Barbuda,,2020-01-01,75.56,82.9
Antigua and Barbuda,,2020-01-02,75.39,83.06
Antigua and Barbuda,,2020-01-03,75.83,82.52
Antigua and Barbuda,,2020-01-04,75.95,81.88
Antigua and Barbuda,,2020-01-05,75.75,81.93
Antigua and Barbuda,,2020-01-06,75.1,81.59
Antigua and Barbuda,,2020-01-07,74.79,82.25
Antigua and Barbuda,,2020-01-08,75.83,82.99
Antigua and Barbuda,,2020-01-09,75.75,82.64
Antigua and Barbuda,,2020-01-10,76.68,81.68
Antigua and Barbuda,,2020-01-11,75.66,81.88
Antigua and Barbuda,,2020-01-12,75.4,81.51
Antigua and Barbuda,,2020-01-13,74.38,80.25
Antigua and Barbuda,,2020-01-14,73.97,80.78
Antigua and Barbuda,,2020-01-15,74.77,81.2
Antigua and Barbuda,,2020-01-16,74.46,81.51
Antigua and Barbuda,,2020-01-17,74.08,81.8
Antigua and Barbuda,,2020-01-18,73.68,80.3
Antigua and Barbuda,,2020-01-19,74.44,79.59
Antigua and Barbuda,,2020-01-20,74.13,81.6
Antigua and Barbuda,,2020-01-21,73.59,80.98
Antigua and Barbuda,,2020-01-22,74.07,81.29
Antigua and Barbuda,,2020-01-23,75.23,82.62
Antigua and Barbuda,,2020-01-24,74.93,81.36
Antigua and Barbuda,,2020-01-25,73.86,81.95
Antigua and Barbuda,,2020-01-26,73.08,81.77
Antigua and Barbuda,,2020-01-27,72.99,82.52
Antigua and Barbuda,,2020-01-28,74.62,82.07
Antigua and Barbuda,,2020-01-29,73.76,82.15
Antigua and Barbuda,,2020-01-30,74.39,82.62
Antigua and Barbuda,,2020-01-31,74.6,82.7
Antigua and Barbuda,,2020-02-01,74.38,82.22
Antigua and Barbuda,,2020-02-02,74.71,82.31
Antigua and Barbuda,,2020-02-03,74.22,82.7
Antigua and Barbuda,,2020-02-04,74.25,81.49
Antigua and Barbuda,,2020-02-05,74.85,81.47
Antigua and Barbuda,,2020-02-06,75.6,81.84
Antigua and Barbuda,,2020-02-07,75.98,82.19
Antigua and Barbuda,,2020-02-08,75.12,81.82
Antigua and Barbuda,,2020-02-09,75.47,81.25
Antigua and Barbuda,,2020-02-10,75.0,81.5
Antigua and Barbuda,,2020-02-11,75.0,81.56
Antigua and Barbuda,,2020-02-12,75.02,80.99
Antigua and Barbuda,,2020-02-13,74.18,80.72
Antigua and Barbuda,,2020-02-14,74.46,81.97
Antigua and Barbuda,,2020-02-15,73.49,81.58
Antigua and Barbuda,,2020-02-16,74.09,81.11
Antigua and Barbuda,,2020-02-17,74.91,81.67
Antigua and Barbuda,,2020-02-18,74.59,81.07
Antigua and Barbuda,,2020-02-19,74.83,81.46
